cosmo_name,smiles,inchi,cosmo_conf,source,exp_dielectric,T,source.1,polar,protic
methylcyclopentane,CC1CCCC1,"InChI=1/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",1,COSMOtherm,1.9853,20.0,,0.0,0
methylformamide,CNC=O,"InChI=1/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)/f/h3H",2,COSMObase,189.0,20.0,,1.0,1
methyln-butylether,CCCCOC,"InChI=1/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3",2,COSMObase,,,,,0
n-butylacetate,CCCCOC(C)=O,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",5,COSMObase,5.07,20.0,,0.0,0
n-decane,CCCCCCCCCC,"InChI=1/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",5,COSMObase,1.9853,20.0,,0.0,0
n-ethylacetamide,CCNC(C)=O,"InChI=1/C4H9NO/c1-3-5-4(2)6/h3H2,1-2H3,(H,5,6)/f/h5H",2,COSMObase,135.0,20.0,,1.0,1
n-formylethylamine,CCNC=O,"InChI=1/C3H7NO/c1-2-4-3-5/h3H,2H2,1H3,(H,4,5)/f/h4H",3,COSMObase,102.7,25.0,,1.0,1
n-formylmorpholine,O=CN1CCOCC1,"InChI=1/C5H9NO2/c7-5-6-1-3-8-4-2-6/h5H,1-4H2",1,COSMObase,,,,,0
n-heptane,CCCCCCC,"InChI=1/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",1,COSMOtherm,1.9209,20.0,,0.0,0
n-hexadecane,CCCCCCCCCCCCCCCC,"InChI=1/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",3,COSMObase,2.046,20.0,,0.0,0
n-hexylacetate,CCCCCCOC(C)=O,"InChI=1/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",6,COSMObase,4.42,20.0,,0.0,0
n-methyl-2-pyrrolidinone,CN1CCCC1=O,"InChI=1/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",1,COSMObase,32.55,20.0,,1.0,0
n-methylacetamide,CNC(C)=O,"InChI=1/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)/f/h4H",1,COSMObase,179.0,30.0,,1.0,1
n-nonane,CCCCCCCCC,"InChI=1/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",6,COSMObase,1.9722,20.0,,0.0,0
n-pentylacetate,CCCCCOC(C)=O,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",4,COSMObase,4.79,20.0,,0.0,0
n-propylacetate,CCCOC(C)=O,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",4,COSMObase,5.62,20.0,,0.0,0
n-propylamine,CCCN,"InChI=1/C3H9N/c1-2-3-4/h2-4H2,1H3",3,COSMOtherm,5.08,23.0,,0.0,1
n-undecane,CCCCCCCCCCC,"InChI=1/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",5,COSMObase,1.9972,20.0,,0.0,0
"n,n-dibutylformamide",CCCCN(C=O)CCCC,"InChI=1/C9H19NO/c1-3-5-7-10(9-11)8-6-4-2/h9H,3-8H2,1-2H3",6,COSMObase,18.4,20.0,,0.0,0
"n,n-dimethylacetamide",CC(=O)N(C)C,InChI=1/C4H9NO/c1-4(6)5(2)3/h1-3H3,1,COSMOtherm,38.85,21.0,,1.0,0
"n,n-dioctyl-1-octanamine",CCCCCCCCN(CCCCCCCC)CCCCCCCC,"InChI=1/C24H51N/c1-4-7-10-13-16-19-22-25(23-20-17-14-11-8-5-2)24-21-18-15-12-9-6-3/h4-24H2,1-3H3",17,COSMObase,,,,,0
"n,n-dipentyl-1-pentanamine",CCCCCN(CCCCC)CCCCC,"InChI=1/C15H33N/c1-4-7-10-13-16(14-11-8-5-2)15-12-9-6-3/h4-15H2,1-3H3",18,COSMObase,,,,,0
